Epochs,TypeMF,OutputMF,Split_1,Split_2,Split_3,Mean,Std,MeanTime,StdTime
25,gbellmf,linear,0.964338994848244,0.870736811500703,0.550941027543683,0.795338944630877,0.216767383591895,0.130127933333333,0.0208372041892221
25,gaussmf,linear,0.964272163678189,0.870646771063329,0.550774440641168,0.795231125127562,0.216819582782857,0.124434,0.0208113619705679
25,trimf,linear,0.964284314347822,0.870447514213071,0.550644505872748,0.795125444811214,0.216862936881933,0.120471833333333,0.0122287990441962
25,trapmf,linear,0.964332995153527,0.870738424204472,0.550850524183729,0.795307314513909,0.216816345513167,0.1541976,0.0218124426089789
50,gbellmf,linear,0.964348261930774,0.870736811500703,0.550862604985906,0.795315892805794,0.216815205549266,0.181391766666667,0.00441960625206966
50,gaussmf,linear,0.9642820159843,0.870646771063329,0.550774440641168,0.795234409229599,0.216823423445312,0.195953533333333,0.0102895629558953
50,trimf,linear,0.964284314347822,0.870447514213071,0.550644505872748,0.795125444811214,0.216862936881933,0.168187333333333,0.0109581286090889
50,trapmf,linear,0.964332995153527,0.870738424204472,0.550869955408307,0.795313791588769,0.216805391336908,0.1893642,0.0145458052386246
75,gbellmf,linear,0.964348261930774,0.870736811500703,0.550862604985906,0.795315892805794,0.216815205549266,0.242513766666667,0.0282208832530687
75,gaussmf,linear,0.964398332667585,0.870646771063329,0.550774440641168,0.795273181457361,0.216868772582263,0.234879633333333,0.0270723732964684
75,trimf,linear,0.964284420919095,0.870306422242096,0.550644505872748,0.79507844967798,0.216838489945784,0.231697766666667,0.0317892194415549
75,trapmf,linear,0.964305891672598,0.870792136657869,0.550950355080809,0.795349461137092,0.216758847282115,0.246044466666667,0.0242683487576583
100,gbellmf,linear,0.964348261930774,0.870736811500703,0.550862604985906,0.795315892805794,0.216815205549266,0.2927047,0.0345137536104087
100,gaussmf,linear,0.964398332667585,0.870646771063329,0.550774440641168,0.795273181457361,0.216868772582263,0.280457833333333,0.0320343654119031
100,trimf,linear,0.964284420919095,0.870306422242096,0.550644505872748,0.79507844967798,0.216838489945784,0.279813333333333,0.0323535306182082
100,trapmf,linear,0.964305891672598,0.870740552960231,0.550950355080809,0.795332266571213,0.216749872317996,0.288256466666667,0.0359043050658738
25,gbellmf,constant,0.967456641575421,0.871460020515436,0.551759319549013,0.796891993879957,0.217649624011194,0.0938822666666667,0.0190850112156984
25,gaussmf,constant,0.970360348848362,0.898509438865319,0.555746080935846,0.808205289549842,0.221567997072799,0.1053244,0.0159000111433923
25,trimf,constant,0.960686303146123,0.878625015857871,0.548661257367274,0.795990858790423,0.218088198953889,0.098074,0.00476793998703843
25,trapmf,constant,1.27798482683643,1.17534858935882,0.84173621935132,1.09835654518219,0.228087796764858,0.111165466666667,0.017396111827168
50,gbellmf,constant,0.965996381533974,0.870303944245399,0.550862489259751,0.795720938346374,0.217384465188723,0.1327426,0.0163057483719699
50,gaussmf,constant,0.970360348848362,0.898509438865319,0.555746080935846,0.808205289549842,0.221567997072799,0.128737466666667,0.011292344900123
50,trimf,constant,0.960686303146123,0.878645460028119,0.548661257367274,0.795997673513839,0.2180920724122,0.1232264,0.0206373336826733
50,trapmf,constant,1.27711061452844,1.17427757960512,0.839452444256724,1.09694687946343,0.228847539619066,0.1267409,0.0198722154172603
75,gbellmf,constant,0.966214753706586,0.870303944245399,0.550660344462092,0.795726347471359,0.217583846404274,0.114689966666667,0.0331867393905056
75,gaussmf,constant,0.970360348848362,0.898509438865319,0.555746080935846,0.808205289549842,0.221567997072799,0.0907569,0.0122602113550297
75,trimf,constant,0.960686303146123,0.878645460028119,0.548661257367274,0.795997673513839,0.2180920724122,0.0909975666666667,0.0120445920056818
75,trapmf,constant,1.27563824969858,1.17224518791999,0.649695614920382,1.03252635084632,0.335547404375572,0.0899184333333333,0.00359995077929314
100,gbellmf,constant,0.965731134416732,0.870179878892411,0.550598664448465,0.795503225919203,0.217407897234552,0.162256566666667,0.0327565508084006
100,gaussmf,constant,0.970360348848362,0.898509438865319,0.555746080935846,0.808205289549842,0.221567997072799,0.151954533333333,0.0344346093664983
100,trimf,constant,0.960686303146123,0.878645460028119,0.548661257367274,0.795997673513839,0.2180920724122,0.141244533333333,0.0263398284220557
100,trapmf,constant,1.2758658012218,1.16829822567377,0.64603683364494,1.0300669535135,0.336900646410804,0.138324866666667,0.0216168770858173
