Epochs,TypeMF,OutputMF,Split_1,Split_2,Split_3,Mean,Std,MeanTime,StdTime
75,gbellmf,linear,0.322487796236247,0.401957900250426,0.334032607870634,0.352826101452436,0.0429391535636535,17.2182161666667,0.049898895784611
100,gbellmf,linear,0.322487796236247,0.401957900250426,0.334032607870634,0.352826101452436,0.0429391535636535,22.9877548,0.127818241408025
125,gbellmf,linear,0.322487796236247,0.401957900250426,0.334032607870634,0.352826101452436,0.0429391535636535,28.3191997666667,0.0312828967511534
150,gbellmf,linear,0.322487796236247,0.401957900250426,0.334032607870634,0.352826101452436,0.0429391535636535,33.9906747333333,0.294911571633691
75,gaussmf,linear,0.322580435369196,0.40197412566532,0.334074210943308,0.352876257325941,0.0429066105144676,17.5860521666667,0.262320392309145
100,gaussmf,linear,0.322580435369196,0.40197412566532,0.334074210943308,0.352876257325941,0.0429066105144676,23.6630092666667,0.266702601161393
125,gaussmf,linear,0.322580435369196,0.40197412566532,0.334074210943308,0.352876257325941,0.0429066105144676,29.3093395,0.411375664707613
150,gaussmf,linear,0.322580435369196,0.40197412566532,0.334074210943308,0.352876257325941,0.0429066105144676,35.3072233666667,0.72749465235566
75,trapmf,linear,0.32249880891484,0.402103139203106,0.334090606301736,0.352897518139894,0.043005665903774,17.0287701,0.0170120612422485
100,trapmf,linear,0.32249880891484,0.402103139203106,0.334090606301736,0.352897518139894,0.043005665903774,22.7573235,0.089160828915898
125,trapmf,linear,0.32249880891484,0.402103139203106,0.334090606301736,0.352897518139894,0.043005665903774,28.0559340666667,0.0979352024964132
150,trapmf,linear,0.32249880891484,0.402103139203106,0.334090606301736,0.352897518139894,0.043005665903774,33.6690544666667,0.19146050504324
150,gbellmf,constant,0.321201587574076,0.408563871843721,0.330080668924234,0.353282042780677,0.0480808692706609,6.87230746666667,0.0359641955083573
125,gbellmf,constant,0.321737821675586,0.409939507430789,0.330080668924234,0.35391933267687,0.0486938985874856,5.7172856,0.00970907672387051
100,gbellmf,constant,0.322719966271699,0.411970857495634,0.330080668924234,0.354923830897189,0.0495410680009778,4.65335576666667,0.00460182640951793
75,gbellmf,constant,0.327725777021209,0.415858972205544,0.330080668924234,0.357888472716996,0.0502177308047922,3.55239876666667,0.022915172285264
75,gaussmf,constant,0.451243275602467,0.575134630889928,0.522488492321518,0.516288799604638,0.0621779231003958,3.22924153333333,0.0320643008485033
100,gaussmf,constant,0.451243275602467,0.575134630889928,0.522488492321518,0.516288799604638,0.0621779231003958,4.22998253333333,0.0376530655865275
125,gaussmf,constant,0.451243275602467,0.575134630889928,0.522488492321518,0.516288799604638,0.0621779231003958,5.2015893,0.0499992803751215
150,gaussmf,constant,0.451243275602467,0.575134630889928,0.522488492321518,0.516288799604638,0.0621779231003958,6.19643156666667,0.0567589160294953
75,trapmf,constant,0.609176951759009,0.757075820100574,0.715999274701945,0.694084015520509,0.0763461050278339,3.3775693,0.0201292424663722
100,trapmf,constant,0.609176951759009,0.757075820100574,0.715999274701945,0.694084015520509,0.0763461050278339,4.42305733333333,0.0252276991975748
125,trapmf,constant,0.609176951759009,0.757075820100574,0.715999274701945,0.694084015520509,0.0763461050278339,5.4427497,0.01985549100652
150,trapmf,constant,0.609176951759009,0.757075820100574,0.715999274701945,0.694084015520509,0.0763461050278339,6.53650586666667,0.0401549124643961
