Epochs,TypeMF,OutputMF,Split_1,Split_2,Split_3,Mean,Std,MeanTime,StdTime
10,gbellmf,linear,0.456599559148611,0.528607934576542,0.45587604551459,0.480361179746581,0.0417844813502741,206.475962266667,20.5188414394986
10,gbellmf,constant,0.764772356695418,0.832015255308903,0.712347933929015,0.769711848644445,0.0599863808467823,4.8813915,0.0848453435057576
25,gbellmf,linear,0.456599559148611,0.528607934576542,0.45587604551459,0.480361179746581,0.0417844813502741,410.8190234,1.32737858050065
25,gbellmf,constant,0.35038590954,0.405803397515961,0.364642996556082,0.373610767870681,0.0287765561725973,11.4441394666667,0.0310582756691889
50,gbellmf,linear,0.456599559148611,0.528607934576542,0.45587604551459,0.480361179746581,0.0417844813502741,818.623121,0.795823436123474
50,gbellmf,constant,0.349083306680382,0.391469668513154,0.364642996556082,0.368398657249873,0.0214413072780053,22.1429322,0.514830013864343
10,gaussmf,linear,0.495547477927195,0.497558816615143,0.465348058622817,0.486151451055051,0.0180443127701383,205.807626033333,19.5627072378651
10,gaussmf,constant,0.755052185851208,0.808370862275275,0.697210919738095,0.753544655954859,0.0555953027782797,4.7783239,0.0343995781586058
25,gaussmf,linear,0.495547477927195,0.497558816615143,0.465348058622817,0.486151451055051,0.0180443127701383,408.975584033333,1.8394806644915
25,gaussmf,constant,0.670509272475235,0.708409806248858,0.620402010711488,0.666440363145193,0.044144762273558,11.506795,0.265353979962766
50,gaussmf,linear,0.495547477927195,0.497558816615143,0.465348058622817,0.486151451055051,0.0180443127701383,815.011802166667,1.23242694280292
50,gaussmf,constant,0.670047032459153,0.695597295549532,0.618143253817567,0.661262527275418,0.0394671736212077,22.1886011,0.0497911691490563
10,trimf,linear,0.375555198048954,0.379303224864793,0.38251756131307,0.379125328075606,0.00348458907277169,206.205249266667,20.1583071336861
10,trimf,constant,0.683145725383079,0.753559499966263,0.649840718089295,0.695515314479546,0.0529542394839364,4.7856825,0.0140890795820736
25,trimf,linear,0.375555198048954,0.379303224864793,0.38251756131307,0.379125328075606,0.00348458907277169,409.737658166667,1.00429651418044
25,trimf,constant,0.634522448755202,0.656570478502382,0.596757184455867,0.62928337057115,0.0302488593394473,11.3951740333333,0.0394874925586995
50,trimf,linear,0.375555198048954,0.379303224864793,0.38251756131307,0.379125328075606,0.00348458907277169,815.542653533333,1.82184909971919
50,trimf,constant,0.596885652832285,0.622511988780074,0.567956103695439,0.595784581769266,0.0272946041820786,22.7996439666667,1.02009385575441
10,trapmf,linear,0.462931662948217,0.604806378698417,0.516692870750093,0.528143637465576,0.0716271511794186,206.036983366667,20.1452927048105
10,trapmf,constant,1.13689595885705,1.33925093120059,1.24085430502385,1.2390003983605,0.101190224011391,4.78953156666667,0.0110438502906972
25,trapmf,linear,0.462931662948217,0.597730240502696,0.516692870750093,0.525784924733669,0.0678576687774338,409.459908033333,1.85346257816802
25,trapmf,constant,1.13739773347069,1.33925093120059,1.24085430502385,1.23916765656504,0.100937168306399,11.4276004666667,0.0330311165715503
50,trapmf,linear,0.462931662948217,0.597730240502696,0.516692870750093,0.525784924733669,0.0678576687774338,818.097314566667,2.06974093231943
50,trapmf,constant,1.13715190092287,1.33925093120059,1.24085430502385,1.23908571238244,0.101061122345573,22.1287351666667,0.259798666812021
